epoch,trainingMSE,testingMSE
1,1603.1846655330914,1159.6437914039036
2,1471.453273793418,1065.0364462646523
3,1329.9069065173958,969.7633249025754
4,1178.311562597499,880.155568611316
5,1026.0537488116897,800.6714819520823
6,889.8253305794848,731.1693430924603
7,777.1174157561362,671.7999068223698
8,678.6416042275671,621.464551040677
9,588.5049246972832,577.9046278606876
10,515.399622014133,541.0552141923964
11,461.10403582082336,510.4787247354543
12,419.6815507804341,484.48001845743283
13,387.16407124819386,461.6538236779469
14,360.9850295161132,441.10676083077834
15,339.26843767703815,422.3599130990056
16,320.69125836802317,405.1863271173553
17,304.3734873929547,389.4727663809998
18,289.7575095368058,375.15380186000067
19,276.51506612355433,362.19141751837924
20,264.4815702837126,350.5657209310728
21,253.60233698622037,340.2585346195775
22,243.8749291121936,331.22419703345935
23,235.28236971421325,323.35533989635763
24,227.74045222487035,316.46866087834377
25,221.0944966767768,310.33321511869747
26,215.1616415611746,304.7265103819083
27,209.77652336541902,299.47758276585773
28,204.81224757527235,294.476889222532
29,200.17959305837374,289.6635079671543
30,195.81766584030882,285.0069587892273
31,191.68444245988044,280.49283066460856
32,187.7498608533969,276.11392343876594
33,183.99139797910462,271.86560425551363
34,180.39139640203683,267.74371250798526
35,176.93547419597803,263.74380194526094
36,173.61156895630117,259.8610025344059
37,170.40934531314767,256.090125404012
38,167.3198111922163,252.4258319789539
39,164.3350562383448,248.86279221323
40,161.44806411658257,245.39580704188114
41,158.6525714777694,242.01989230505433
42,155.9429579028028,238.73032976035074
43,153.31415747885043,235.52269288099902
44,150.76158619888534,232.39285464406834
45,148.28108139862707,229.33698317839776
46,145.86885063984212,226.35152971574442
47,143.5214281838324,223.43321205187632
48,141.2356376718999,220.5789957477745
49,139.00855994853723,217.78607457004082
50,136.83750518795011,215.051851141183
51,134.719988649322,212.3739183983975
52,132.6537095109681,209.75004220329933
53,130.6365323303608,207.17814527250266
54,128.6664707536617,204.65629248557076
55,126.74167315997947,202.18267755466428
56,124.86040997561541,199.7556109962969
57,123.02106243458222,197.37350932080744
58,121.22211259555424,195.03488534305384
59,119.46213445353435,192.73833951400283
60,117.73978600800167,190.4825521742675
61,116.05380216898459,188.26627663517502
62,114.402988399068,186.08833299923504
63,112.78621500333504,183.94760263901318
64,111.20241199110312,181.8430232607995
65,109.65056444339591,179.7735844867268
66,108.12970832869418,177.73832389591402
67,106.63892671686249,175.73632347166463
