beta,train_mse,test_mse
0.1,1.9763343536748514,2.597398790939945
0.2,1.8325331638626885,2.2689462991096123
0.3,1.8325327046201974,2.269232753290793
0.7,1.8325327046201967,2.2692327701327493
1.0,1.8325327046201974,2.2692327701327586
2.0,126.40306762824795,41.72523929194546
4.0,280.4377359038955,524.3206149042079
5.0,374.1638638998726,553.9831129289793
