epoch,Linear,Logistic (β=0.2),Tanh (β=0.3)
1,1544.7702872511509,748.9549341716239,1639.0279225454908
2,1418.9997614945055,712.1451836829355,1450.8606397576157
3,1306.0036866939906,678.4114411332223,1218.6605796618817
4,1204.3999408721415,647.5404224319881,948.5502667099348
5,1112.8093201603103,619.1167108496435,711.2186284981684
6,1029.9427922411905,592.7051522142325,559.4589083635549
7,954.8674017083569,568.2560020364323,456.7877597546939
8,886.7455701904538,545.3463200144928,387.9981639874462
9,824.698929425463,523.8538795488904,336.11645292388584
10,768.0540535650961,503.76195919537514,292.0558139100263
11,716.4414161335509,484.8601123743401,253.72461063537176
12,669.109256445187,467.0967133705702,220.79573928986323
13,625.8619053366408,450.2048349619736,191.77426452888832
14,586.1738663407772,434.26945377605335,168.66761324098545
15,549.6961035564361,419.10474053047164,150.6858671892465
16,516.2987158924333,404.71501207667086,136.85553027803613
17,485.55758340419914,391.1010339834006,126.96159953746282
18,457.2506797425986,378.11473896227056,119.44390370233099
19,431.2440730932161,365.82474159272635,113.74923413963106
20,407.29686539797103,354.1794611258246,108.78109802608323
21,385.2188468872523,343.13173034199514,104.62614306406353
22,364.9206568816802,332.6956000875069,100.89618884905778
23,346.18541050183654,322.7949467254475,97.58589940180545
24,328.91779064816154,313.40259315152804,94.59451865197822
25,312.97570804694186,304.55794566293326,91.83862219234598
26,298.214799620964,296.2160565096964,89.30053299855479
27,284.5717078318593,288.3317530632491,86.93678356606024
28,271.98515193021547,280.9091613865613,84.74186841575404
29,260.3347270111314,273.8928026123526,82.69075277306665
30,249.52703901879664,267.2659385912373,80.72608975616886
31,239.61202147641248,261.02808367607315,78.90190671038947
32,230.3784846557321,255.1727641631322,77.1791726804031
33,221.86992092751407,249.66188366589753,75.54968964840303
34,213.96344323320574,244.39617023176945,74.00123852035725
35,206.6330546348106,239.4440933053167,72.52279753075068
36,199.85409757715752,234.78809807863692,71.11045119995309
37,193.5392785112649,230.34714334681058,69.77115419173093
38,187.72659120160444,226.15906902635726,68.48504038370082
39,182.28725355269233,222.16146454742776,67.26149208037046
40,177.2345590325675,218.35148567745372,66.06981557362876
