epoch,Train (k=2),Test (k=2),Train (k=3),Test (k=3),Train (k=5),Test (k=5),Train (k=10),Test (k=10)
45,171.06997904728036,572.9255816845689,153.0034276479777,248.18279656997584,151.76409772999128,265.25027954756894,99.12426037033205,137.51771673873765
46,168.35745848386955,565.0153171713108,150.79321261767882,246.13131497930704,149.5508923100841,262.0419965469641,97.55328944661967,135.50276688393495
47,165.7771299508442,557.3678440311542,148.64807631934323,244.10600552739834,147.39181212449995,258.90659308440274,96.02444531129855,133.5457685735743
48,163.318649168849,549.9691240549473,146.56407019097028,242.1079102694392,145.2843868946828,255.84019122013655,94.53565643718571,131.64334605594206
49,160.97269866038806,542.8061351267196,144.53770589218968,240.13742161386315,143.2263342690642,252.83923712422273,93.08501903530201,129.79243567500683
50,158.73086483088815,535.8667675546562,142.56585666831634,238.1944754333778,141.2155406821306,249.90046909072316,91.6707788272123,127.99024901228135
51,156.5855323683735,529.1397347900684,140.64569178387794,236.27869661845804,139.2500445338297,247.02088906303243,90.29131519293446,126.23424104923875
52,154.52979315447487,522.614496126053,138.77463026241327,234.38950607629377,137.32802136886136,244.1977372462859,88.94512733924051,124.52208260088614
53,152.55736738943358,516.281189406724,136.95030637630225,232.52619788446904,135.44777078483057,241.42846943828008,87.63082219265239,122.85163638896888
54,150.66253504276807,510.13057213401373,135.17054266212944,230.68799401000942,133.60770483926666,238.71073675815052,86.3471037699567,121.22093622251892
55,148.8400760705315,504.1539696482116,133.4333280350845,228.874082501329,131.80633775969076,236.04236749329948,85.09276381881912,119.62816883678379
56,147.08521810619453,498.3432292934576,131.7367995564456,227.08364368487688,130.04227678949252,233.42135082064732,83.86667355378874,118.07165801141835
57,145.39359054813386,492.6906796706735,130.07922695194674,225.31586775805818,128.31421402635584,230.84582218901716,82.66777634000161,116.54985064732891
58,143.76118414268907,487.1890942362303,128.4589992878091,223.56996627401773,126.62091913016596,228.31405017603475,81.4950811992978,115.06130453057342
59,142.18431530577865,481.83165863169,126.87461339267485,221.84517933213155,124.96123279437909,225.82442465592976,80.3476570321125,113.60467755279873
60,140.6595945444412,476.61194123368546,125.32466372481416,220.14077978012006,123.33406088928632,223.37544613455503,79.22462746407672,112.17871819216302
61,139.1838984373905,471.52386649777566,123.80783345541317,218.45607536068232,121.7383691978797,220.9657161252495,78.12516623931951,110.78225708764437
62,137.75434471466934,466.5616907395081,122.32288658713333,216.7904094644579,120.17317867549113,218.59392845420567,77.04849309344281,109.4141995640003
63,136.36827004391668,461.71998005281273,120.86866096156518,215.1431609556502,118.63756117331477,216.25886139709354,75.99387004840575,108.07351898517803
64,135.02321018711316,456.9935901125817,119.4440620348304,213.51374339658705,117.13063557358494,213.9593705601063,74.96059807939858,106.75925083131995
65,133.71688223895652,452.3776476467449,118.0480573203604,211.90160389768073,115.65156429076015,211.69438242855648,73.94801411044702,105.47048740918694
66,132.4471686978487,447.8675333948853,116.67967141357559,210.30622174847056,114.19955009873016,209.46288851486278,72.95548830116012,104.20637311826803
67,131.21210315414996,443.45886639668703,115.33798152590948,208.72710693548808,112.77383324895429,207.26394004540344,71.98242159188109,102.96610020542862
68,130.00985740892895,439.1474894752795,114.02211346608873,207.16379861763275,111.3736888486681,205.096643132402,71.02824347865071,101.74890494995907
69,128.83872986076216,434.9294557986807,112.73123801529088,205.615863605286,109.9984244719648,202.96015438289822,70.09240999296043,100.55406422858005
70,127.6971350189209,430.80101641768044,111.4645676501106,204.08289487245352,108.64737797974492,200.85367690202983,69.17440186434092,99.38089241654423
71,126.58359401908797,426.7586086912179,110.22135357343832,202.56451011959015,107.31991552730229,198.77645665241562,68.27372284648685,98.22873858661869
72,125.49672603305535,422.7988455210098,109.0008830185937,201.06035039687097,106.01542974073519,196.72777913545937,67.38989818991107,97.09698397258181
73,124.4352404770498,418.9185053262505,107.80247679652304,199.57007879239328,104.73333804548875,194.7069663639533,66.52247324611669,95.98503966804832
74,123.39792993473847,415.1145226969103,106.62548705969103,198.09337918633832,103.473081132187,192.71337409851662,65.67101219000554,94.8923445350385
75,122.38366372085395,411.38397967074934,105.46929525957493,196.62995506993488,102.23412154654018,190.74638932320204,64.83509684875392,93.81836329982687
76,121.39138201996877,407.7240975848284,104.33331027749405,195.17952842673594,101.01594239154109,188.8054279380877,64.01432562670502,92.76258481630717
77,120.4200905424321,404.1322294571903,103.21696671094249,193.74183867298544,99.81804613142461,186.8899326488845,63.20831251698307,91.72452047945391
78,119.4688556460138,400.60585285864056,102.1197232997033,192.31664165350594,98.63995348797282,184.99937103555803,62.4166861915484,90.70370277350457
79,118.53679987751778,397.1425632382654,101.04106147785137,190.90370868944842,97.48120242072983,183.13323378372365,61.63908916230247,89.6996839412599
80,117.62309789363843,393.74006766959167,99.98048403934426,189.5028256743283,96.34134718355837,181.29103306414356,60.87517700663759,88.71203476245611
81,116.7269727247366,390.3961789871703,98.93751390628618,188.11379221494076,95.21995745073875,179.47230104706136,60.12461765151797,87.74034343051858
82,115.84769234908929,387.1088102859177,97.91169299016504,186.73642081398623,94.11661750649344,177.67658853936814,59.38709071079061,86.78421451819541
83,114.9845665485854,383.8759697578294,96.90258113742084,185.3705360914938,93.0309254924283,175.9034637337277,58.662286870966476,85.84326802361497
84,114.13694401986035,380.6957558427165,95.90975515163696,184.0159740423975,91.96249270792059,174.15251105980005,57.94990732119347,84.91713848922684
85,113.30420971753554,377.56635267144827,94.93280788546423,182.67258132788405,90.91094295896633,172.42333012862,57.24966322356867,84.00547418689514
86,112.48578240859896,374.48602578183977,93.97134739610856,181.34021459837797,89.87591195142909,170.71553476200916,56.56127522031777,83.1079363631235
87,111.6811124190665,371.4531180888183,93.02499615885024,180.0187398462663,88.85704672501744,169.02875209964049,55.88447297470841,82.22419853902178
88,110.88967955593475,368.4660460918699,92.09339033362649,178.70803178667902,87.85400512466123,167.3626217770477,55.21899474286498,81.35394586017887
89,110.11099118910289,365.52329630399754,91.17617908020645,177.40797326483565,86.86645530626659,165.71679516847456,54.56458697392368,80.49687449209966
90,109.34458047942579,362.62342188756895,90.27302391793228,176.11845468864658,85.89407527410526,164.090934689008,53.921003936207114,79.6526910573007
91,108.59000474038916,359.7650394834575,89.38359812639277,174.83937348541258,84.93655244734367,162.48471315093485,53.28800736731466,78.82111211054662
92,107.84684392208213,356.94682622084053,88.50758618374634,173.57063358160818,83.99358325343972,160.89781316971175,52.66536614621877,78.00186364905461
93,107.11469920720734,354.1675168958939,87.6446832397237,172.31214490485505,83.06487274633827,159.32992661534567,52.05285598563155,77.19468065480211
94,106.39319170981906,351.4259013084252,86.79459462061878,171.06382290730076,82.15013424757667,157.7807541053506,51.45025914306325,76.39930666634487
95,105.68196126833567,348.72082174623665,85.95703536382719,169.8255881097118,81.24908900857707,156.2500045357855,50.85736414913518,75.61549337779961
96,104.98066532514201,346.05117060769464,85.13172977971497,168.59736566566872,80.3614658925498,154.73739464718238,50.2739655518365,74.84300026286193
97,104.2889778857859,343.4158881536179,84.31841103880045,167.37908494532286,79.48700107456622,153.24264862245053,49.699863675530224,74.08159422192713
98,103.60658855139832,340.8139603801872,83.51682078241338,166.17067913822817,78.62543775848215,151.76549771409836,49.13486439361601,73.33104925055645
99,102.93320161852634,338.24441700512443,82.7267087551568,164.97208487481342,77.7765259095018,150.30567989834285,48.57877891385267,72.5911461276892
100,102.26853524107543,335.7063295598971,81.94783245764297,163.78324186609723,76.94002200127309,148.8629395538876,48.03142357542696,71.86167212214158
101,101.61232064951481,333.19880958117153,81.17995681810642,162.60409256127943,76.11568877649586,147.4370271633413,47.49261965693277,71.14242071606154
102,100.96430142291547,330.7210068951812,80.42285388161552,161.43458182286815,75.30329502010746,146.02769903542335,46.96219319449462,70.43319134412299
103,100.32423280976262,328.2721079890772,79.67630251571124,160.274656619017,74.5026153441846,144.63471704626158,46.43997480933235,69.73378914734558
104,99.6918810938275,325.85133446371447,78.94008813139804,159.12426573276036,73.71342998377037,143.25784839823493,45.92579954412145,69.044024740521
105,99.06702300168932,323.4579415626751,78.21400241849962,157.98335948784083,72.93552460289622,141.89686539494213,45.41950670755624,68.36371399230941
106,98.4494451487794,321.0912167726638,77.49784309447135,156.85188949082465,72.16869011012702,140.55154523100265,44.920939726569884,67.69267781714743
107,97.83894352107436,318.75047849071746,76.79141366583322,155.72980838919952,71.41272248300919,139.22166979550454,44.42994600570948,67.03074197817756
108,97.23532298979615,316.43507475396086,76.0945232014514,154.61706964514465,70.66742260084865,137.90702548801454,43.94637679320319,66.37773690047194
109,96.63839685668881,314.14438202790825,75.40698611695628,153.5136273246535,69.93259608529044,136.6074030461596,43.47008705329279,65.73349749388026
110,96.0479864276333,311.8778040495668,74.72862196963861,152.41943590168134,69.20805314821087,135.32259738387066,43.0009353444381,65.09786298488419
111,95.46392061253835,309.6347707218336,74.05925526321244,151.33445007697551,68.49360844646935,134.05240743945916,42.53878370302935,64.47067675688686
112,94.88603554960514,307.41473705590073,73.39871526188068,150.25862461123563,67.78908094310171,132.7966360327655,42.08349753227134,63.85178619840963
113,94.3141742522111,305.21718215859624,72.74683581317566,149.19191417223303,67.0942937745669,131.5550897306822,41.634945495928406,63.24104255870854
114,93.74818627679217,303.04160826178315,72.10345517908824,148.13427319550686,66.40907412368684,130.32757872041566,41.19299941664205,62.63830081035648
115,93.18792741022548,300.88753979112767,71.46841587502824,147.0856557582369,65.73325309794666,129.11391668990103,40.75753417855444,62.04341951837281
116,92.63325937532963,298.7545224717243,70.84156451619239,146.0460154658788,65.0666656128446,127.9139207148362,40.328427633990046,61.456260715509835
117,92.08404955320066,296.6421224682311,70.222751670943,145.0153053511328,64.40915028000434,126.72741115184422,39.90556051396565,60.876689783334804
118,91.54017072120018,294.54992555732946,69.6118317208259,143.99347778480242,63.76054929978234,125.55421153731481,39.48881634231537,60.30457533877059
119,91.00150080549817,292.47753633046835,69.00866272688013,142.98048439808605,63.12070835812057,124.39414849151339,39.07808135323181,59.73978912578146
120,90.46792264715464,290.42457742500085,68.413106301913,141.97627601583432,62.48947652741409,123.24705162757928,38.67324441203895,59.18220591191257
121,89.93932378080027,288.39068878195195,67.82502748843436,140.9808026002926,61.866706171176745,122.11275346506704,38.27419693902441,58.631703389410426
122,89.41559622504354,286.3755269287894,67.24429464196128,139.9940132048413,61.25225285230438,120.99108934771326,37.88083283617092,58.088162080670465
123,88.89663628379712,284.37876428568757,66.67077931942238,139.01585593723735,60.64597524474768,119.88189736513573,37.49304841663713,57.55146524777449
124,88.3823443577755,282.400088493899,66.10435617240523,138.0462779318557,60.047735048419916,118.78501827819841,37.11074233684801,57.02149880589599
125,87.87262476547008,280.4392017649497,65.54490284500588,137.085225330425,59.45739690717571,117.70029544779504,36.73381553106458,56.498151240366255
126,87.36738557296079,278.49582024949353,64.9922998760515,136.1326432707495,58.874828329707995,116.62757476682528,36.36217114831037,55.98131352720641
127,86.8665384319678,276.56967342475036,64.44643060548118,135.18847588290876,58.29989961322044,115.56670459515513,35.995714491540504,55.470879056943645
128,86.36999842559524,274.66050349956026,63.907181084679856,134.25266629242964,57.73248376974116,114.51753569737097,35.63435295894634,54.966743561541556
129,85.87768392125577,272.76806483617116,63.3744399905722,133.32515662992677,57.172456454952965,113.47992118314941,35.27799598729512,54.46880504428341
130,85.38951643030654,270.8921233879707,62.8480985432931,132.4058880467138,56.619695899421764,112.45371645008204,34.92655499721016,53.97696371245911
131,84.9054204739611,269.0324561524532,62.328050427260564,131.49480073589532,56.07408284211397,111.4387791288049,34.57994334030346,53.491121912713936
132,84.42532345507611,267.18885063879605,61.81419171548637,130.5918339584576,55.5355004660986,110.43496903029431,34.23807624807716,53.0111840689269
133,83.94915553544277,265.3611043494916,61.30642079696718,129.6969260738856,55.003834336337306,109.44214809520244,33.90087078251553,52.53705662249335
134,83.47684951824228,263.5490242755539,60.804638307008254,128.81001457484797,54.47897233947111,108.46018034511421,33.56824578829395,52.06864797489483
135,83.00834073535145,261.75242640488955,60.308747060337616,127.93103612550215,53.96080462551756,107.48893183561714,33.24012184653511,51.60586843244507
136,82.54356693921112,259.9711352434774,59.81865198687701,127.0599266029886,53.4492235513974,106.52827061108376,32.916421230047106,51.14863015310839
137,82.08246819899323,258.2049833490706,59.33426007004215,126.1966211416963,52.944123626214925,105.57806666107342,32.59706785998132,50.69684709529145
138,81.62498680082452,256.4538108771797,58.85548028745078,125.34105417990052,52.44540145821954,104.63819187826589,32.28198726385184,50.25043496851647
139,81.17106715184639,254.71746513915465,58.38222355392396,124.49315950838961,51.95295570338105,103.70852001784915,31.971106534860912,49.80931118588786
140,80.7206556879095,252.99580017222138,57.9144026666709,123.65287032071615,51.466687015514324,102.78892665828444,31.6643542924783,49.37339481826935
141,80.273700784719,251.2886763213778,57.45193225255386,122.82011926472599,50.98649799789276,101.87928916338122,31.36166064422482,48.94260655009456
142,79.83015267226463,249.5959598330877,56.99472871733415,121.9948384950395,50.51229315629346,100.97948664561702,31.062957148613243,48.51686863673571
143,79.38996335238363,247.91752246074438,56.5427101968061,121.17695972617543,50.043978853419176,100.08939993064213,30.76817677920193,48.09610486336203
144,78.95308651931975,246.2532410819071,56.095796509729745,120.3664142860312,49.58146326464634,99.20891152291378,30.477253889719016,47.68024050522074
145,78.51947748315524,244.60299732733608,55.65390911247797,119.56313316944954,49.12465633504967,98.33790557240728,30.19012418021676,47.26920228927878
146,78.08909309600287,242.96667722187323,55.21697105531837,118.76704709162368,48.67346973765731,97.47626784235538,29.90672466421815,46.86291835716545
147,77.66189168085845,241.34417083723184,54.78490694025347,117.97808654111032,48.2278168328925,96.62388567797038,29.626993636819215,46.46131822936029
148,77.23783296302221,239.73537195677028,54.357642880347726,117.19618183224115,47.787612629159604,95.78064797610617,29.35087064371256,46.06433277057253
149,76.81687800400769,238.14017775233276,53.935106460472745,116.4212631567396,47.35277374453494,94.94644515582002,29.078296451099117,45.67189415626207
150,76.398989137864,236.55848847324592,53.5172266994061,115.65326063437085,46.92321836952414,94.12116912979675,28.80921301645675,45.28393584025363
151,75.98412990984548,234.99020714755744,53.10393401322273,114.89210436246799,46.49886623084999,93.30471327659919,28.543563460135637,44.90039252339901
152,75.57226501736673,233.4352392956012,52.69516017992017,114.13772446419675,46.07963855623609,92.49697241371231,28.28129203775189,44.52120012324376
153,75.16336025319015,231.8934926559685,52.29083830522302,113.39005113543651,45.66545804015338,91.69784277134912,28.02234411335208,44.14629574465785
154,74.75738245079341,230.36487692394894,51.89090278951452,112.64901469017134,45.25624881049803,90.9072219669885,27.766666133322467,43.775617651390725
155,74.3542994318718,228.8493035024996,51.49528929584551,111.91454560430077,44.85193639617012,90.1250089806176,27.514205601017927,43.40910523851406
156,73.95407995593098,227.34668526577758,51.103934718974266,111.18657455779277,44.45244769552498,89.35110413065101,27.264911052086763,43.04669900571675
157,73.55669367192993,225.85693633525784,50.71677715539274,110.46503247511743,44.0577109456686,88.58540905050259,27.01873203046832,42.68834053141845
158,73.16211107193466,224.37997186843359,50.33375587429723,109.74985056391029,43.6676556925713,87.82782666578558,26.77561906504161,42.333972447670035
159,72.77030344674482,222.9157078600777,49.954811289463976,109.04096035182776,43.28221276197351,87.07826117211825,26.535523646903677,41.983538415810116
160,72.38124284345696,221.46406095601552,49.57988493199142,108.33829372156806,42.90131423106005,86.3366180135134,26.298398207257826,41.6369831028489
161,71.99490202492726,220.02494827933583,49.208919423874256,107.64178294404157,42.52489340087838,85.60280386133131,26.064196095891976,41.29425215855148
162,71.6112544310974,218.59828726893986,48.841858452374765,106.951360709683,42.1528847694791,84.87672659377664,25.83287156022871,40.95529219319447
163,71.23027414214681,217.18399553029892,48.478646745159786,106.26696015790951,41.785224005756284,84.15829527591957,25.60437972492921,40.62005075597057
164,70.85193584343344,215.78199069826542,48.11923004617275,105.588514904733,41.42184792396719,83.447420140225,25.378676572033644,40.28847631401707
165,70.47621479218446,214.39219031175276,47.76355509221211,104.91595906854623,41.06269445891083,82.74401256757072,25.155718921621702,39.96051823204556
166,70.10308678589746,213.01451170007073,47.4115695901887,104.24922729410567,40.707702641746,82.04798506873962,24.93546441297724,39.63612675255088
167,69.73252813241066,211.6488718806774,47.063222195036154,103.58825477474262,40.356812576430244,81.35925126636938,24.71787148624177,39.31525297657801
168,69.36451562160035,210.29518746808026,46.718462488249735,102.93297727283698,40.009965416761084,80.67772587734495,24.502899364541946,38.99784884502776
169,68.99902649866121,208.95337459359376,46.37724095703026,102.28333113859527,39.667103344002776,80.00332469561913,24.2905080365771,38.6838671204811
170,68.63603843892432,207.6233488356361,46.03950897401061,101.63925332717587,39.328169545080875,79.3359645754472,24.080658239652756,38.37326136952477
171,68.27552952416639,206.3050251602245,45.70521877754416,101.00068141420996,38.99310819132897,78.67556341502261,23.873311443147237,38.06598594556013
172,67.91747822036173,204.99831787130682,45.37432345253446,100.36755360976925,38.6618644177713,78.02204014050044,23.668429832398548,37.76199597207864
173,67.56186335682763,203.703140570548,45.04677691178741,99.73980877083204,38.3343843029261,77.37531469039627,23.465976292999066,37.461247326388126
174,67.2086641067128,202.4194061261705,44.722533877867555,99.11738641230444,38.01061484911512,76.73530800034868,23.265914395486497,37.163696623774214
175,66.85785996877665,201.14702665043467,44.401549865441105,98.500226716652,37.6905039632646,76.10194198823358,23.068208380419374,36.86930120208225
176,66.50943075040783,199.8859134853285,44.08378116408909,97.88827054220029,37.37400043818402,75.4751395396195,22.872823143826174,36.57801910670608
177,66.16335655182766,198.63597719602762,43.76918482157478,97.28145943016177,37.06105393430931,74.85482449355268,22.67972422301735,36.28980907596941
178,65.81961775142628,197.39712757167467,43.457718627550456,96.67973561044896,36.751614961897104,74.24092162866225,22.488877782749967,36.00463052688723
179,65.47819499217589,196.16927363302366,43.14934109768867,96.08304200633164,36.445634863658,73.6333566495745,22.30025060173488,35.722443541295306
180,65.1390691690685,194.95232364648572,42.84401145822483,95.49132223799721,36.14306579781587,73.0320561736274,22.113810059476908,35.443208852334514
181,64.8022214175237,193.7461851441172,42.541689630897075,94.90452062507222,35.843860721581926,72.43694771787565,21.92952412343859,35.16688783128008
182,64.46763310271263,192.55076494908388,42.24233621827154,94.32258218816315,35.547973375031795,71.8479596863771,21.747361336518576,34.89344247470364
183,64.13528580974585,191.36596920614267,41.945912489440346,93.74545264947132,35.25535826537432,71.2650213577519,21.567290804835828,34.62283539195808
184,63.80516133467243,190.19170341668428,41.65238036608109,93.17307843253987,34.96597065160146,70.6880628730058,21.389282185811147,34.355029792974726
185,63.4772416762392,189.0278724778866,41.36170240886628,92.60540666118474,34.6797665295085,70.11701522360954,21.213305676538038,34.089989476363385
186,63.15150902835973,187.87438072553687,41.07384180421233,92.04238515766421,34.39670261707478,69.55181023982627,21.03933200243467,33.82767881780562
187,62.827945773244615,186.73113198009193,40.788762351357654,91.48396244013752,34.116736340194336,68.99238057927894,20.86733240616952,33.5680627587323
188,62.50653447514526,185.59802959555464,40.5064284497602,90.93008771946286,33.839825818747656,68.43865971575141,20.697278636853135,33.311106795276984
189,62.18725787466553,184.47497651076054,40.22680508680441,90.3807108953831,33.56592985300442,67.8905819282142,20.529142939488786,33.05677696749615
190,61.87009888359698,183.36187530268094,39.949857825809175,89.83578255214508,33.29500791034862,67.34808229006961,20.362898044675084,32.80503984884898
191,61.555040580235314,182.25862824136522,39.67555279432727,89.29525395359828,33.02702011231724,66.81109665860878,20.19851715855372,32.55586253592865
192,61.24206620513755,181.16513734616055,39.403856672728466,88.75907703781483,32.76192722194347,66.27956166467366,20.035973952995814,32.30921263843717
193,60.931159157281385,180.08130444286647,39.13473668305743,88.22720441127284,32.4996906313968,65.7534147025185,19.875242556020485,32.06505826939762
194,60.622302990590285,179.00703122149747,38.8681605781592,87.69958934264234,32.24027234991134,65.23259391986406,19.716297542439445,31.823368035595713
195,60.315481410789054,177.94221929434661,38.604096631064216,87.17618575621071,31.98363499199484,64.717038208139,19.559113924721625,31.584111028244923
196,60.01067827255835,176.886770254062,38.34251362462574,86.65694822498425,31.729741765910696,64.20668719290225,19.403667144072063,31.347256813868285
197,59.707877576956975,175.84058573146714,38.08338084140251,86.14183196349931,31.47855646242548,63.70148122444134,19.249933061719297,31.11277542539055
198,59.407063469083184,174.80356745287514,37.82666805377988,85.63079282037565,31.230043443814946,63.20136136854101,19.097887950406015,30.880637353435088
199,59.108220235949474,173.7756172966666,37.57234551432274,85.12378727064187,30.98416763312133,62.70626939741713,18.947508486077318,30.650813537819452
200,58.81133230454519,172.75663734891975,37.32038394635399,84.62077240786236,30.740894503655376,62.21614778081037,18.79877173976176,30.42327535924405
201,58.51638424006518,171.7465299579011,37.07075453475209,84.1217059360926,30.500190068736305,61.730939677235554,18.651655169639945,30.19799463116871
202,58.22336074428286,170.7451977872425,36.82342891696219,83.62654616168813,30.2620208716635,61.25058892538154,18.50613661329591,29.974943591871728
203,57.93224665404952,169.75254386764982,36.57837917421461,83.13525198499174,30.026353975913473,60.77504003565722,18.36219428014652,29.754094896686315
204,57.643026939901716,168.76847164700524,36.33557782294537,82.64778289192037,29.793156955556373,60.304238181878894,18.219806744044366,29.535421610410015
205,57.35568670476173,167.7928850387433,36.0949978064131,82.16409894547422,29.56239788588591,59.83812919309579,18.078952936049557,29.318897199881782
206,57.07021118271648,166.82568846839658,35.85661248650753,81.68416077718524,29.334045334257137,59.37665954554821,17.93961213736634,29.10449552672257
207,56.786585737862325,165.86678691822283,35.620395635744025,81.20792957852626,29.1080683511265,58.9197763547559,17.801763972439986,28.892190840235077
208,56.50479586320472,164.91608596984082,35.386321429439484,80.73536709229454,28.884436461288885,58.46742736773159,17.665388402210233,28.6819577704579
209,56.22482717960215,163.9734918448169,35.15436443806479,80.26643560398797,28.66311965530634,58.01956095531692,17.53046571751698,28.473771321370812
210,55.94666543474612,163.0389114431567,34.92449961976926,79.80109793318668,28.444088381123485,57.57612610463648,17.396976532654634,28.267606864246307
