fold,train_mse,test_mse
0,1.897818313326127,0.5911097592271365
1,2.042299787700231,0.9354209658673613
2,4.220661779868494,50.29465373785685
3,2.0553801780693814,0.8530486829599327
4,2.145462563755871,0.18985152911152986
5,2.0333002618734377,0.9540809483433299
6,1.8898277505733632,2.1317985497801066
